date,open,close,high,low,volume,money
2011/4/22,20.8,19.32,20.86,19.21,9982644,200458928
2011/4/25,19.1,19.31,19.98,18.28,5288703,99662888
2011/4/26,18.59,18.56,18.97,18.4,2030174,37801192
2011/4/27,18.5,18.15,18.75,18.1,1844948,33952180
2011/4/28,18.1,17.39,18.24,17.32,1963673,34925728
2011/4/29,17.36,17.49,17.61,17.36,825209,14411302
2011/5/3,17.68,17.61,17.69,17.41,532183,9332533
2011/5/4,17.5,17.32,17.62,17.3,736478,12819766
2011/5/5,17.21,17.25,17.37,17.09,538486,9259670
2011/5/6,17.29,17.26,17.33,17.1,466471,8044642
2011/5/9,17.26,17.43,17.64,17.25,481750,8414215
2011/5/10,17.45,17.47,17.48,17.33,338135,5884602
2011/5/11,17.5,17.69,17.77,17.25,870360,15212333
2011/5/12,17.55,17.66,17.97,17.4,1412976,25067144
2011/5/13,17.56,18.3,18.4,17.56,1389387,24908200
2011/5/16,18.1,18.15,18.32,17.93,1208729,21929742
2011/5/17,18.28,17.99,18.35,17.77,1129247,20357448
2011/5/18,17.92,18.1,18.24,17.92,926778,16768632
2011/5/19,18.1,17.87,18.14,17.8,761517,13656757
2011/5/20,17.87,17.48,17.94,17.46,695420,12269456
2011/5/23,17.51,17.22,17.63,17.2,560770,9735204
2011/5/24,17.25,17.29,17.35,17.03,463306,7979728
2011/5/25,17.23,17.11,17.43,17.1,313301,5395736
2011/5/26,17.06,17.36,17.41,17.06,626907,10838352
2011/5/27,17.23,17.22,17.44,17.1,456743,7876474
2011/5/30,17.22,17.22,17.22,17.22,0,0
2011/5/31,17.18,17.49,17.54,17.11,548133,9509749
2011/6/1,17.49,18.02,18.05,17.38,1325143,23573286
2011/6/2,17.69,18.11,18.25,17.67,2416781,43686024
2011/6/3,18.2,17.93,18.32,17.82,2262950,40758200
2011/6/7,17.72,17.39,17.74,17.26,1251449,21805200
2011/6/8,17.31,17.4,17.44,17.2,663707,11476904
2011/6/9,17.39,17.05,17.44,17.03,667911,11483589
2011/6/10,17.08,16.71,17.2,16.5,852127,14330985
2011/6/13,16.71,16.5,16.71,16.4,363841,5999648
2011/6/14,16.47,16.67,16.7,16.47,297474,4951353
2011/6/15,16.62,16.77,16.97,16.6,421074,7084320
2011/6/16,16.68,16.54,16.72,16.5,295477,4899392
2011/6/17,16.54,16.74,16.9,16.48,614028,10268821
2011/6/20,16.7,16.79,17.12,16.66,387739,6509278
2011/6/21,16.7,16.7,16.84,16.49,359804,5988337
2011/6/22,16.75,16.79,16.81,16.42,366700,6088359
