date,open,close,high,low,volume,money
2010/1/4,27.4,27.76,28.3,27.38,3415593,94775224
2010/1/5,27.74,27.7,27.92,27.01,3303406,90868800
2010/1/6,27.81,27.9,28.94,27.51,5343066,151703728
2010/1/7,27.44,26.77,27.88,26.6,4172332,113137928
2010/1/8,26.5,27.19,27.75,26.2,3574504,96837832
2010/1/11,26.8,27.19,27.99,26.3,3361721,91978960
2010/1/12,27.19,27.19,27.19,27.19,0,0
2010/1/13,26.9,28.3,29.2,26.65,7364144,206252064
2010/1/14,28.14,28.15,28.3,27.2,4751491,132428752
2010/1/15,28.5,28.22,29.16,28.02,3564601,101523656
2010/1/18,28.1,27.96,28.1,27.4,3278012,90730272
2010/1/19,27.99,27.3,28.1,27.3,3763999,103605568
2010/1/20,27.3,25.81,27.69,25.5,4273597,112964144
2010/1/21,25.83,26.15,26.6,25.82,1733761,45434244
2010/1/22,26.14,24.8,26.14,24.02,2374747,59039800
2010/1/25,24.85,24.42,25.4,24.35,1327376,32850980
2010/1/26,24.8,23.69,24.85,23.42,1427682,34151428
2010/1/27,23.69,23.89,24.18,23.21,1432530,34000216
2010/1/28,23.95,24.57,24.83,23.51,1824866,44435116
2010/1/29,24.27,24.2,24.92,24,1792288,43939788
2010/2/1,24.18,23.24,24.35,23.05,1505743,35098108
2010/2/2,23.25,22.98,23.79,22.82,1101685,25685714
2010/2/3,23.5,25.28,25.28,22.9,5094323,125537776
2010/2/4,25.75,26.44,27.3,25.55,7934213,210521664
2010/2/5,25.5,25.96,27.58,24.89,5299349,140206496
2010/2/8,25.45,24.45,25.58,24.29,2587219,64091568
2010/2/9,23.8,23.87,24.8,23.78,1860026,44861400
2010/2/10,23.99,24.03,24.41,23.33,1992943,47258944
2010/2/11,23.7,23,23.7,22.76,6663748,153348064
2010/2/12,23.01,23.85,23.89,22.8,3969843,92560920
2010/2/22,24.7,24.87,25.6,24.02,7085907,176750256
2010/2/23,24.7,25.4,25.93,23.86,7793542,195563632
2010/2/24,24.94,25.56,25.7,24.75,4848867,122318896
2010/2/25,25.58,26.34,27.66,25.57,7429516,198693552
2010/2/26,26.4,26.23,26.84,26,4452647,117591096
2010/3/1,26.15,26.27,26.84,25.51,5387443,140926416
2010/3/2,26.27,25.58,26.68,25.51,4826272,124778960
2010/3/3,25.52,25.72,25.93,25.03,3312610,84552384
2010/3/4,25.79,26.41,26.88,25.78,8575788,225665728
2010/3/5,26.41,26,26.76,25.65,4585404,119954248
2010/3/8,26.13,26.15,26.57,25.8,3644508,95150192
2010/3/9,26.59,26.62,26.96,26.15,6263049,166772400
